date,T850,T700,T500,Td850,Td700,KI,TT,CT,VT,SI,LI,CAPE,wind_shear
2015-01-01,19.961569999999995,8.31310000000002,-4.584569999999985,1.5441082611506545,-0.23142150998387478,17.54572675116674,30.67481826115062,6.12867826115064,24.54613999999998,10.327542853991986,-0.0,0.0,8.39146977575041
2015-01-02,19.517970000000048,7.736300000000028,-5.523169999999993,1.474574591628766,-0.6399215134877068,18.139493078141072,32.0388845916288,6.997744591628759,25.04114000000004,9.69316486688632,-0.0,0.0,11.451384729929774
2015-01-03,19.63960000000003,7.530420000000049,-4.242399999999975,1.3351831055639423,-0.9516866325266164,16.73507647303728,29.459583105563922,5.577583105563917,23.882000000000005,10.982177187511638,-0.0375,1.5,11.753175393849057
2015-01-04,20.11880000000002,9.015039999999999,-4.052159999999958,1.2210720754865747,-2.3240402421111526,14.052951833375403,29.444192075486512,5.273232075486533,24.17095999999998,10.953538696669398,-0.0,0.0,8.562872386157629
2015-01-05,20.042500000000018,6.535420000000045,-4.359229999999968,1.1807591199765852,-0.28122492985841063,18.765844190118116,29.94171911997654,5.539989119976553,24.401729999999986,10.714890756401417,-0.03125,1.25,9.64329148782555
2015-01-06,18.980650000000026,10.038720000000012,-3.3783599999999865,1.2908944202969224,-1.2926967456492662,12.318487674647656,27.02826442029692,4.669254420296909,22.359010000000012,12.266395443336023,-0.41875,16.75,5.391266390047553
2015-01-07,19.542230000000018,11.348400000000026,-3.429359999999974,1.1507720133398038,-2.763766085708369,10.0101959276314,27.55172201333977,4.580132013339778,22.971589999999992,11.95915328376384,-0.0,0.0,10.670836850554641
2015-01-08,19.80680000000001,6.519800000000032,-4.083349999999996,1.1546166839476086,-0.347369960175854,18.177596723771728,29.12811668394761,5.2379666839476045,23.890150000000006,11.146231919817069,-0.015625,0.625,13.12525729117413
2015-01-09,18.90270000000004,10.763500000000022,-4.677039999999977,1.0987262825543098,-2.9112198178526683,11.003746464701635,29.355506282554302,5.775766282554287,23.579740000000015,11.125430462893405,-0.0,0.0,9.956554991118182
2015-01-10,19.237150000000042,10.292259999999999,-4.284999999999968,0.44376490676552294,-3.714393216055555,9.95926169070998,28.2509149067655,4.728764906765491,23.52215000000001,11.68678624523352,-0.0,0.0,3.909999157436597
2015-01-11,18.81710000000004,10.712850000000003,-3.6982799999999543,0.0221783613177422,-4.072411416578291,7.752296944739442,26.23583836131769,3.7204583613176965,22.515379999999993,12.761243750573442,-0.0,0.0,3.755700504237592
2015-01-12,18.736050000000034,10.3245,-4.219029999999975,0.15167973897979437,-4.742130653301501,8.040129085678302,27.32578973897978,4.3707097389797696,22.95508000000001,12.219535691924648,-0.0,0.0,4.501268403416984
2015-01-13,18.95180000000005,11.469930000000033,-3.6976699999999596,0.23845154239614885,-4.446377041851406,6.971614500544717,26.585591542396116,3.9361215423961085,22.649470000000008,12.561271932005525,-0.0,0.0,1.8456495160135062
2015-01-14,19.20010000000002,10.700220000000002,-3.8342700000000036,0.42295487972143064,-4.492728437669143,8.26437644205231,27.29159487972146,4.257224879721434,23.034370000000024,12.171570359496286,-0.0,0.0,3.436486190902074
2015-01-15,19.3236,10.199800000000039,-2.9706199999999967,0.4503763285619016,-3.1715304712055854,9.373265857356273,25.715216328561894,3.4209963285618983,22.294219999999996,12.944755815848282,-0.0,0.0,6.747174346305446
2015-01-16,19.005980000000022,11.05758000000003,-3.558399999999949,1.0002038693214672,-1.7999832741799082,10.7070205951415,27.122983869321388,4.558603869321416,22.56437999999997,12.239055555575476,-0.0,0.0,8.223787794906896
2015-01-17,19.78000000000003,5.895530000000008,-4.591439999999977,1.1676774738206745,0.49735297520635413,20.140940449027028,30.13055747382066,5.759117473820652,24.371440000000007,10.646582566855898,-0.14375,5.75,5.725678301487153
2015-01-18,20.364599999999996,6.458280000000002,-5.147919999999999,1.1689019046023645,0.3966514603611131,20.61979336496347,31.82934190460236,6.316821904602364,25.512519999999995,9.743379887615959,-0.015625,0.625,4.440452297012981
2015-01-19,20.727869999999996,5.544579999999996,-5.894399999999962,1.0915769990230615,0.4346598330731126,22.603926832096136,33.60824699902298,6.985976999023023,26.622269999999958,8.827123726611887,-0.153125,6.125,5.5876545496459835
2015-01-20,19.587730000000022,5.488060000000019,-5.71963999999997,1.15392601619169,0.1976714177197323,21.170907433911395,32.18093601619165,6.87356601619166,25.30736999999999,9.640182893638894,-0.00625,0.25,4.315207621012489
2015-01-21,18.833460000000002,5.624780000000044,-5.8431999999999675,1.1113067962677405,-0.05584431471481821,20.10734248155285,31.631166796267678,6.954506796267708,24.67665999999997,9.994255904163708,-0.0,0.0,5.389170072616567
2015-01-22,19.85763000000003,5.980860000000007,-5.213999999999999,0.5515728636640347,-0.6933555029484637,18.94898736071559,30.83720286366406,5.765572863664033,25.071630000000027,10.324957614628147,-0.0,0.0,6.246530942670013
2015-01-23,20.133500000000026,4.603600000000029,-3.898719999999969,0.8322161125087177,0.3299543825312412,20.590790495039926,28.763156112508682,4.730936112508687,24.032219999999995,11.319289915143713,-0.0,0.0,7.161060453582517
2015-01-24,18.893460000000005,5.351100000000031,-3.6584499999999593,1.2944729725303432,0.3196733674805614,18.814956340010838,27.504832972530266,4.952922972530303,22.551909999999964,12.036843940836945,-0.328125,13.125,5.03649293178612
2015-01-25,20.435940000000016,5.02773000000002,-4.990939999999966,0.7361565937330283,0.29815039225337614,21.433456985986368,31.153976593732978,5.727096593732995,25.426879999999983,10.101818914205467,-0.0,0.0,5.915108966383281
2015-01-26,19.308250000000044,9.894800000000032,-5.269799999999975,0.5635006871644919,-3.6831685749972394,11.56358211216724,30.411350687164486,5.833300687164467,24.57805000000002,10.592532084726429,-0.0,0.0,10.570077527073211
2015-01-27,19.405970000000025,9.529320000000041,-4.826300000000003,0.982542549839934,-1.2111073736710978,14.474385176168823,30.041112549839966,5.808842549839937,24.232270000000028,10.740256593201366,-0.0,0.0,8.691614323586302
2015-01-28,19.714930000000038,11.250200000000007,-5.850129999999979,1.250422088218329,-0.9944403994937829,14.570841688724556,32.665612088218325,7.100552088218308,25.565060000000017,9.378595645619214,-0.0,0.0,6.086786925756006
2015-01-29,20.679160000000024,6.40652,-4.789829999999995,1.3161184303113487,0.7648458557987965,21.143434286110164,31.574938430311363,6.105948430311344,25.46899000000002,9.832422997620881,-0.2,8.0,1.812280116801641
2015-01-30,20.84450000000004,6.5400600000000395,-5.761629999999968,1.3005132095730119,0.6827141460249209,22.0492973555979,33.66827320957299,7.06214320957298,26.606130000000007,8.77279696339815,-0.171875,6.875,3.0628281749701376
2015-01-31,20.329060000000027,9.083430000000021,-5.4967699999999695,1.0338080285048932,-0.8744735447376115,16.901734483767257,32.35640802850486,6.530578028504863,25.825829999999996,9.491946140254356,-0.0,0.0,8.287015561458668
2015-02-01,20.03000000000003,6.983730000000037,-7.151299999999992,0.9796352708412996,-0.8113152523346798,20.365890018506605,35.31223527084131,8.130935270841292,27.18130000000002,8.045092524065751,-0.0,0.0,3.2878761060350774
2015-02-02,18.77645000000001,9.179160000000024,-5.677699999999959,0.8891938985576644,-3.205622861868676,12.958561036688934,31.021043898557593,6.566893898557623,24.45414999999997,10.32158323854236,-0.0,0.0,8.295265113408234
2015-02-03,19.16897,8.533400000000029,-6.599099999999964,0.9499664554073206,-3.2661642918560005,14.918472163551257,33.31713645540725,7.549066455407285,25.768069999999966,9.128830841713068,-0.0,0.0,3.9043960129309947
2015-02-04,19.24117000000001,8.286600000000021,-6.378999999999962,0.5991547795467795,-0.3792772790803838,17.553447500466348,32.598324779546715,6.978154779546742,25.620169999999973,9.504074019024586,-0.0,0.0,6.538370276369445
2015-02-05,20.096400000000017,9.02767,-7.459019999999953,0.3670326450211405,-1.3795259790273917,17.515256665993718,35.38147264502106,7.826052645021093,27.55541999999997,8.039421870840783,-0.0,0.0,7.058245793923044
2015-02-06,20.73690000000005,9.158100000000047,-6.522739999999999,0.24415439997579824,-1.2807250698584767,17.06496933011732,34.026534399975844,6.766894399975797,27.259640000000047,8.661060412060294,-0.0,0.0,10.318876452315655
2015-02-07,21.191430000000025,8.597300000000018,-6.569429999999954,0.29612625723024166,-0.6397744268763859,18.819911830353817,34.626416257230176,6.865556257230196,27.76085999999998,8.319142159743592,-0.0,0.0,11.368373177260384
2015-02-08,21.85656,6.350850000000037,-6.007360000000006,0.3605646995133611,0.011763015960980283,21.885397715474312,34.231844699513374,6.367924699513367,27.863920000000007,8.458060032359072,-0.0,0.0,11.838009433180167
2015-02-09,21.426540000000045,7.9167000000000485,-6.639139999999998,0.06387048849580879,-1.7126391449234006,18.500211343572403,34.76869048849585,6.703010488495806,28.065680000000043,8.236036600926866,-0.0,0.0,13.79306317372185
2015-02-10,19.736440000000016,8.959069999999997,-8.73584999999997,0.5682693922672684,-2.8801841779690562,17.201305214298202,37.776409392267226,9.30411939226724,28.472289999999987,6.866688244127886,-0.0,0.0,16.34842271276074
2015-02-11,21.224500000000035,6.86710000000005,-7.5005199999999945,0.6101965824985882,-0.7816784728424295,21.686438109656137,36.83573658249861,8.110716582498583,28.72502000000003,7.197583901173346,-0.0,0.0,8.606015403844559
2015-02-12,21.579769999999996,6.710840000000019,-8.236459999999965,0.7018656123776736,-0.4094065921233323,23.397849020254284,38.7545556123776,8.93832561237764,29.816229999999962,6.204727384868875,-0.0,0.0,11.72631539810142
2015-02-13,22.124300000000005,6.23974000000004,-6.073299999999961,0.6599545784605994,0.2533664159713567,22.87118099443188,34.930854578460526,6.73325457846056,28.197599999999966,8.075675908474864,-0.0,0.0,14.467318478953342
2015-02-14,23.21096,7.164240000000007,-7.205299999999966,0.2602900528527812,-0.07836333321432676,23.433946719638413,37.88185005285271,7.465590052852747,30.416259999999966,6.535287373284746,-0.0,0.0,10.484742531122993
2015-02-15,23.339170000000024,7.24606,-6.428699999999992,0.4510750521234854,0.10483372005489855,23.0777187721784,36.647645052123494,6.8797750521234775,29.767870000000016,7.138167363076775,-0.0,0.0,9.124116513407312
2015-02-16,23.28027000000003,7.174040000000048,-8.150899999999979,0.28129935105170034,-0.06586216209296936,24.472567188958692,39.86336935105169,8.432199351051679,31.43117000000001,5.539344241726155,-0.0,0.0,8.276744975231221
2015-02-17,23.08820000000003,7.033100000000047,-9.57965999999999,0.08605281889964544,-0.26177324749625086,25.459039571403366,42.333572818899654,9.665712818899635,32.66786000000002,4.322266327308057,-0.0,0.0,6.689485674061767
2015-02-18,23.740499999999997,7.7135000000000105,-7.3434199999999805,0.11755179523794368,-0.2184789704300556,23.269492824807855,38.5448917952379,7.460971795237924,31.083919999999978,6.171744273073955,-0.0,0.0,4.6637765995284655
2015-02-19,22.996759999999995,6.996900000000039,-4.568369999999959,0.297517804805409,-0.04323387892412711,20.822513925881196,32.43101780480532,4.865887804805368,27.565129999999954,9.274161418842482,-0.0,0.0,10.425530880205367
2015-02-20,21.934600000000046,6.001280000000008,-5.69969999999995,0.22837142726297088,-0.10405324421952855,21.75733818304343,33.56237142726292,5.928071427262921,27.634299999999996,8.790911465624106,-0.0,0.0,13.45741278473081
2015-02-21,21.442700000000002,5.508600000000001,-3.8907199999999875,0.2574385571518292,-0.10099549195814461,19.981263065193673,29.481578557151806,4.148158557151817,25.33341999999999,10.871241136111507,-0.0,0.0,15.000009227751503
2015-02-22,21.44583,5.587000000000046,-4.962869999999953,0.37045538995369043,-0.010399856630670001,21.181755533322928,31.742025389953596,5.333325389953643,26.408699999999953,9.73576362291999,-0.0,0.0,6.094982473120035
2015-02-23,21.61755000000005,6.817830000000015,-5.721839999999986,-0.4449179711857596,-1.4634748618224194,18.613167166991843,32.616312028814264,5.2769220288142265,27.339390000000037,9.30754985099162,-0.0,0.0,5.185323406559148
2015-02-24,22.082730000000026,7.16482000000002,-4.991859999999974,-0.9146742926510001,-2.144679502240649,16.85041620510833,31.151775707348975,4.077185707348974,27.07459,10.004260542668192,-0.0,0.0,10.504180782069582
2015-02-25,22.990560000000016,7.032920000000047,-4.057259999999985,-0.08108456002872799,-0.3625724067402416,19.571243033230985,31.02399543997126,3.976175439971257,27.04782,9.987441423459302,-0.0,0.0,2.153197771678224
2015-02-26,23.98583000000002,7.936760000000049,-5.007180000000005,0.8511998327143147,0.47735815518893787,22.38480798790323,34.85138983271435,5.85837983271432,28.993010000000027,7.983296988232894,-0.0,0.0,3.006165123054049
2015-02-27,23.633170000000007,7.709040000000016,-6.942019999999957,0.7715971767585756,0.3533974107295421,23.991144587488066,38.288807176758496,7.713617176758532,30.575189999999964,6.287926637316787,-0.0,0.0,8.977626516024726
2015-02-28,20.566300000000012,8.395000000000039,-7.783669999999972,1.4975948386008326,0.5585810601994581,22.011145898800237,37.63123483860079,9.281264838600805,28.349969999999985,6.8006098833024,-1.46875,58.75,6.407992736559931
2015-03-01,20.45718000000005,8.988500000000045,-6.59348,1.5897821328554755,0.5946544211590776,20.24659655401456,35.233922132855525,8.183262132855475,27.05066000000005,8.000976301087633,-1.2625,50.5,11.70763493907245
2015-03-02,22.575900000000047,9.484200000000044,-6.311800000000005,1.4053001708972488,0.23470079024798451,21.04350096114524,36.604800170897306,7.717100170897254,28.887700000000052,7.167027017899386,-0.08125,3.25,13.445961716303778
2015-03-03,21.79522000000003,9.612850000000037,-5.997469999999964,1.6370793762522453,0.24337669279418606,20.060296069046387,35.4272393762522,7.63454937625221,27.792689999999993,7.795305621546447,-3.103125,124.125,8.432824474404525
2015-03-04,20.87270000000001,9.041280000000029,-5.570299999999975,1.636287645842799,0.24358422438513117,19.281591870227885,33.64958764584276,7.206587645842774,26.442999999999984,8.755389449265124,-1.534375,61.375,5.454431688554658
2015-03-05,21.64993000000004,8.863699999999994,-5.873749999999973,1.6255142919719106,0.6255315768887613,20.91102586886069,35.022944291971896,7.499264291971883,27.523680000000013,8.008225955643866,-0.759375,30.375,4.024839530052481
2015-03-06,21.46243000000004,9.248800000000017,-6.218699999999956,1.6940789048559282,0.6577833661555132,20.78419227101142,35.59390890485588,7.912778904855884,27.681129999999996,7.732615105091611,-3.875,155.0,4.690130486516035
2015-03-07,20.74368000000004,8.829600000000028,-6.628099999999961,1.716754700905767,0.4581365457239599,20.7170712466297,35.71663470090573,8.344854700905728,27.37178,7.725461952422393,-5.60625,224.25,2.216151517677391
2015-03-08,21.24484000000001,7.770560000000046,-6.133459999999957,1.3061054745158458,0.6019300886966334,21.5157755632124,34.81786547451577,7.439565474515803,27.378299999999967,8.164770967080642,-0.0,0.0,4.212398574159849
2015-03-09,21.75582000000003,6.976460000000031,-5.63297,1.1795104810873909,0.32894081488296933,21.920781295970357,34.20127048108742,6.812480481087391,27.38879000000003,8.440924041666221,-0.0,0.0,8.660296148227392
2015-03-10,22.20297000000005,6.657800000000009,-6.7249799999999595,0.46387587000054964,-0.06827508359026524,22.665750786410285,36.11680587000052,7.188855870000509,28.92795000000001,7.484347221290477,-0.0,0.0,11.335584126215025
2015-03-11,21.865139999999997,8.47634000000005,-6.309820000000002,0.8779479280622127,-0.7591304832379251,19.817437444824236,35.36272792806221,7.187767928062215,28.17496,7.869052038946563,-0.0,0.0,8.862609348953896
2015-03-12,21.59304000000003,8.667140000000018,-6.118139999999983,1.2903864022290463,-0.13253738061081322,20.20188902161823,35.11970640222904,7.408526402229029,27.711180000000013,7.98812512542014,-0.0,0.0,8.271362470208246
2015-03-13,22.077420000000018,9.094000000000051,-7.03529999999995,0.815095189169881,-1.7498386460501933,19.083976543119604,36.9631151891698,7.850395189169831,29.112719999999968,7.055976830573854,-0.0,0.0,15.139169978552664
2015-03-14,22.90432000000004,8.116420000000005,-7.509899999999959,0.9051779332410206,-0.5300155879606905,22.672962345280325,38.82929793324098,8.41507793324098,30.41422,6.05976559534065,-0.0,0.0,7.349873437481544
2015-03-15,21.7432,8.918880000000001,-5.767740000000003,1.488405133476249,0.6555121827071844,20.735977316183437,34.76708513347626,7.256145133476252,27.510940000000005,8.139934398879745,-0.090625,3.625,7.809516160982727
2015-03-16,23.76460000000003,8.197230000000047,-6.325779999999952,1.1045953338339132,0.48307242325893185,23.48081775709278,37.52075533383385,7.430375333833865,30.090379999999982,6.65102201605788,-0.0,0.0,3.7334186939660614
