date,YEAR,MONTH,MAX,MIN,DTR,AW,RF,EVP,DRNRF,SSH,RF_3d,RF_7d,MAX_3d_avg,MIN_3d_avg,DTR_3d_avg,RF_lag1,MAX_lag1,MIN_lag1,LABEL_lag1,MONTH_sin,MONTH_cos,DOY_sin,DOY_cos,SEASON,HA_flag,RF_nonzero,LABEL,T850,T700,T500,Td850,Td700,KI,TT,CT,VT,SI,LI,CAPE,wind_shear
2015-01-02,2015,1,29.1,17.6,11.5,2.0,1.4,2.9,95.0,306.0,,,,,,0.0,,,0,0.4999999999999999,0.8660254037844387,0.0344216116227457,0.9994074007397048,0,0,1,0,19.517970000000048,7.736300000000028,-5.523169999999993,1.474574591628766,-0.6399215134877068,18.139493078141072,32.0388845916288,6.997744591628759,25.04114000000004,9.69316486688632,-0.0,0.0,11.451384729929774
2015-01-03,2015,1,29.2,18.7,10.5,2.0,0.0,3.6,0.0,366.0,1.4,1.4,29.1,17.6,11.5,1.4,29.1,17.6,0,0.4999999999999999,0.8660254037844387,0.0516196672232537,0.998666816288476,0,0,0,0,19.63960000000003,7.530420000000049,-4.242399999999975,1.3351831055639425,-0.9516866325266164,16.73507647303728,29.45958310556392,5.577583105563917,23.882000000000005,10.982177187511638,-0.0375,1.5,11.753175393849055
2015-01-04,2015,1,28.3,19.0,9.3,2.0,0.0,4.1,0.0,378.0,1.4,1.4,29.15,18.15,11.0,0.0,29.2,18.7,0,0.4999999999999999,0.8660254037844387,0.0688024268023198,0.9976303053065856,0,0,0,0,20.11880000000002,9.01504,-4.052159999999958,1.2210720754865747,-2.324040242111153,14.052951833375404,29.444192075486512,5.273232075486533,24.17095999999998,10.953538696669398,-0.0,0.0,8.562872386157629
2015-01-05,2015,1,28.8,18.4,10.400000000000002,2.0,0.0,5.2,0.0,474.0,1.4,1.4,28.866666666666664,18.433333333333334,10.433333333333334,0.0,28.3,19.0,0,0.4999999999999999,0.8660254037844387,0.0859647987374464,0.9962981749346078,0,0,0,0,20.042500000000015,6.535420000000045,-4.359229999999968,1.1807591199765852,-0.2812249298584106,18.76584419011812,29.94171911997654,5.539989119976553,24.401729999999983,10.714890756401417,-0.03125,1.25,9.64329148782555
2015-01-06,2015,1,28.1,18.6,9.5,1.0,0.0,3.4,0.0,486.0,0.0,1.4,28.766666666666666,18.7,10.066666666666668,0.0,28.8,18.4,0,0.4999999999999999,0.8660254037844387,0.1031016974474348,0.9946708199115212,0,0,0,0,18.980650000000026,10.038720000000012,-3.3783599999999865,1.2908944202969224,-1.2926967456492662,12.318487674647656,27.02826442029692,4.669254420296909,22.35901000000001,12.266395443336023,-0.41875,16.75,5.391266390047553
2015-01-07,2015,1,27.0,17.4,9.6,1.0,0.0,4.5,0.0,330.0,0.0,1.4,28.4,18.666666666666668,9.733333333333334,0.0,28.1,18.6,0,0.4999999999999999,0.8660254037844387,0.1202080448993527,0.9927487224577402,0,0,0,0,19.542230000000018,11.348400000000026,-3.429359999999974,1.1507720133398038,-2.763766085708369,10.0101959276314,27.55172201333977,4.580132013339778,22.971589999999992,11.95915328376384,-0.0,0.0,10.67083685055464
2015-01-08,2015,1,28.6,17.6,11.0,1.0,0.0,4.2,0.0,414.0,0.0,1.4,27.96666666666667,18.13333333333333,9.833333333333334,0.0,27.0,17.4,0,0.4999999999999999,0.8660254037844387,0.1372787721132647,0.9905324521322229,0,0,0,0,19.80680000000001,6.519800000000032,-4.083349999999996,1.1546166839476086,-0.347369960175854,18.177596723771728,29.12811668394761,5.2379666839476045,23.89015000000001,11.146231919817067,-0.015625,0.625,13.12525729117413
2015-01-09,2015,1,27.6,17.6,10.0,1.0,0.0,5.2,0.0,210.0,0.0,1.4,27.9,17.86666666666667,10.033333333333331,0.0,28.6,17.6,0,0.4999999999999999,0.8660254037844387,0.1543088206642811,0.9880226656636976,0,0,0,0,18.90270000000004,10.763500000000022,-4.677039999999977,1.0987262825543098,-2.9112198178526683,11.003746464701637,29.355506282554305,5.775766282554287,23.57974000000001,11.125430462893403,-0.0,0.0,9.956554991118182
2015-01-10,2015,1,27.4,16.5,10.9,1.0,0.0,3.3,0.0,282.0,0.0,0.0,27.73333333333333,17.53333333333333,10.2,0.0,27.6,17.6,0,0.4999999999999999,0.8660254037844387,0.1712931441814776,0.9852201067560606,0,0,0,0,19.23715000000004,10.29226,-4.284999999999968,0.4437649067655229,-3.714393216055555,9.95926169070998,28.2509149067655,4.728764906765491,23.52215000000001,11.68678624523352,-0.0,0.0,3.909999157436597
2015-01-11,2015,1,28.3,12.7,15.6,1.0,0.0,2.5,0.0,528.0,0.0,0.0,27.866666666666664,17.233333333333334,10.633333333333333,0.0,27.4,16.5,0,0.4999999999999999,0.8660254037844387,0.1882267098432442,0.9821256058680006,0,0,0,0,18.81710000000004,10.712850000000005,-3.6982799999999534,0.0221783613177422,-4.072411416578291,7.752296944739442,26.23583836131769,3.720458361317697,22.515379999999997,12.761243750573442,-0.0,0.0,3.755700504237592
