ERA5_U10,ERA5_V10,ERA5_T2M,ERA5_t_500hPa,ERA5_u_500hPa,ERA5_v_500hPa,ERA5_q_500hPa,ERA5_t_700hPa,ERA5_u_700hPa,ERA5_v_700hPa,ERA5_q_700hPa,ERA5_t_850hPa,ERA5_u_850hPa,ERA5_v_850hPa,ERA5_q_850hPa,ERA5_CAPE,ERA5_SP,K_INDEX,TOTALS_TOTALS,LIFTED_INDEX,CAPE,PRECIP_WATER,date,gfs_cycle,fetched_at,slot,fetched_at_utc,CIN,ERA5_D2M,APCP_surface,SRH_0_3km,EHI,BRN,wind_shear_500_850_ms,TMP_f006,TMP_f012,TMP_f018,TMP_f024
,,293.7059326171875,271.02593994140625,13.617475509643556,4.057392597198486,0.0004039631166961,282.5189208984375,10.590283393859863,-3.4588623046875,0.0086799431592226,291.2132568359375,15.173620223999023,-0.0079772947356104,0.0121837873011827,22.0,91501.078125,31.88401483047062,36.82346355205226,2.4390188662657124,22.0,37.84076690673828,2026-09-26,2026-09-25 06Z f012,,0.0,2026-09-25 15:19,-141.32415771484375,291.805908203125,0.125,-11.55,0.0,2.32,4.35,296.20806884765625,293.7059326171875,292.3146057128906,298.28643798828125
,,292.523681640625,270.39996337890625,10.219189643859863,4.631103515625,0.0004874019359704,282.4855041503906,6.730920314788818,-2.9512267112731934,0.0065627745352685,289.84832763671875,14.33673095703125,-0.1909057646989822,0.0115510253235697,1.0,91493.0390625,26.365678691497465,35.8944121862404,2.8678307878774945,1.0,35.35893249511719,2026-09-26,2026-09-25 12Z f012,,1.0,2026-09-25 20:45,0.33349609375,291.3059387207031,0.0,-23.55,0.0,0.05,6.34,293.70001220703125,292.523681640625,299.20001220703125,298.9013061523437
6.443031616210938,-0.0605615234375,298.9725341796875,269.88087890625,13.030599365234375,4.9261328125,0.0006606404375000002,282.7123046875,6.785547256469727,-1.2621612548828125,0.007733259375000002,291.12765625000003,8.903796386718751,-0.9858947753906251,0.011511692500000002,0.0,91618.75,30.218905847623148,38.152110261843234,1.4468209354922124,0.0,35.987225,2026-09-26,2026-09-25 18Z f012,,2.0,2026-09-26 06:12,-0.34912109375,289.46469726562503,0.0,-13.54,0.0,0.0,7.21,,,,
