date,YEAR,MONTH,MAX,MIN,DTR,AW,RF,EVP,DRNRF,SSH,RF_3d,RF_7d,MAX_3d_avg,MIN_3d_avg,DTR_3d_avg,RF_lag1,MAX_lag1,MIN_lag1,LABEL_lag1,MONTH_sin,MONTH_cos,DOY_sin,DOY_cos,SEASON,HA_flag,RF_nonzero,LABEL
2015-01-02,2015,1,29.1,17.6,11.5,2.0,1.4,2.9,95.0,306.0,,,,,,0.0,,,0,0.49999999999999994,0.8660254037844387,0.03442161162274574,0.9994074007397048,0,0,1,0
2015-01-03,2015,1,29.2,18.7,10.5,2.0,0.0,3.6,0.0,366.0,1.4,1.4,29.1,17.6,11.5,1.4,29.1,17.6,0,0.49999999999999994,0.8660254037844387,0.051619667223253764,0.998666816288476,0,0,0,0
2015-01-04,2015,1,28.3,19.0,9.3,2.0,0.0,4.1,0.0,378.0,1.4,1.4,29.15,18.15,11.0,0.0,29.2,18.7,0,0.49999999999999994,0.8660254037844387,0.06880242680231986,0.9976303053065857,0,0,0,0
2015-01-05,2015,1,28.8,18.4,10.400000000000002,2.0,0.0,5.2,0.0,474.0,1.4,1.4,28.866666666666664,18.433333333333334,10.433333333333334,0.0,28.3,19.0,0,0.49999999999999994,0.8660254037844387,0.08596479873744647,0.9962981749346078,0,0,0,0
2015-01-06,2015,1,28.1,18.6,9.5,1.0,0.0,3.4,0.0,486.0,0.0,1.4,28.766666666666666,18.7,10.066666666666668,0.0,28.8,18.4,0,0.49999999999999994,0.8660254037844387,0.10310169744743485,0.9946708199115211,0,0,0,0
2015-01-07,2015,1,27.0,17.4,9.600000000000001,1.0,0.0,4.5,0.0,330.0,0.0,1.4,28.400000000000002,18.666666666666668,9.733333333333334,0.0,28.1,18.6,0,0.49999999999999994,0.8660254037844387,0.1202080448993527,0.9927487224577402,0,0,0,0
2015-01-08,2015,1,28.6,17.6,11.0,1.0,0.0,4.2,0.0,414.0,0.0,1.4,27.96666666666667,18.13333333333333,9.833333333333334,0.0,27.0,17.4,0,0.49999999999999994,0.8660254037844387,0.13727877211326478,0.9905324521322229,0,0,0,0
2015-01-09,2015,1,27.6,17.6,10.0,1.0,0.0,5.2,0.0,210.0,0.0,1.4,27.900000000000002,17.86666666666667,10.033333333333333,0.0,28.6,17.6,0,0.49999999999999994,0.8660254037844387,0.15430882066428117,0.9880226656636976,0,0,0,0
2015-01-10,2015,1,27.4,16.5,10.899999999999999,1.0,0.0,3.3,0.0,282.0,0.0,0.0,27.733333333333334,17.53333333333333,10.200000000000001,0.0,27.6,17.6,0,0.49999999999999994,0.8660254037844387,0.1712931441814776,0.9852201067560606,0,0,0,0
2015-01-11,2015,1,28.3,12.7,15.600000000000001,1.0,0.0,2.5,0.0,528.0,0.0,0.0,27.866666666666664,17.233333333333334,10.633333333333333,0.0,27.4,16.5,0,0.49999999999999994,0.8660254037844387,0.1882267098432442,0.9821256058680006,0,0,0,0
2015-01-12,2015,1,28.6,14.0,14.600000000000001,1.0,0.0,3.0,0.0,564.0,0.0,0.0,27.76666666666667,15.6,12.166666666666666,0.0,28.3,12.7,0,0.49999999999999994,0.8660254037844387,0.2051044998686192,0.9787400799669153,0,0,0,0
2015-01-13,2015,1,26.7,13.7,13.0,1.0,0.0,3.7,0.0,540.0,0.0,0.0,28.099999999999998,14.4,13.700000000000001,0.0,28.6,14.0,0,0.49999999999999994,0.8660254037844387,0.2219215130041655,0.9750645322571948,0,0,0,0
2015-01-14,2015,1,27.1,13.7,13.400000000000002,1.0,0.0,3.3,0.0,534.0,0.0,0.0,27.86666666666667,13.466666666666667,14.4,0.0,26.7,13.7,0,0.49999999999999994,0.8660254037844387,0.2386727660059501,0.9711000518829505,0,0,0,0
2015-01-15,2015,1,27.1,14.4,12.700000000000001,1.0,0.0,4.4,0.0,486.0,0.0,0.0,27.46666666666667,13.799999999999999,13.666666666666666,0.0,27.1,13.7,0,0.49999999999999994,0.8660254037844387,0.255353295116187,0.9668478136052775,0,0,0,0
2015-01-16,2015,1,27.1,15.7,11.400000000000002,1.0,0.0,4.1,0.0,528.0,0.0,0.0,26.96666666666667,13.933333333333332,13.033333333333333,0.0,27.1,14.4,0,0.49999999999999994,0.8660254037844387,0.2719581575341055,0.9623090774541486,0,0,0,0
2015-01-17,2015,1,28.3,17.3,11.0,2.0,0.0,5.4,0.0,510.0,0.0,0.0,27.1,14.6,12.500000000000002,0.0,27.1,15.7,0,0.49999999999999994,0.8660254037844387,0.288482432880609,0.9574851883550393,0,0,0,0
2015-01-18,2015,1,27.9,15.9,11.999999999999998,1.0,0.0,3.5,0.0,360.0,0.0,0.0,27.5,15.800000000000002,11.700000000000001,0.0,28.3,17.3,0,0.49999999999999994,0.8660254037844387,0.30492122465628907,0.9523775757303974,0,0,0,0
