date,utc_hour,slot,ERA5_T2M,ERA5_D2M,ERA5_U10,ERA5_V10,ERA5_CAPE,ERA5_SP,ERA5_t_500hPa,ERA5_t_700hPa,ERA5_t_850hPa,ERA5_q_500hPa,ERA5_q_700hPa,ERA5_q_850hPa,ERA5_u_500hPa,ERA5_u_700hPa,ERA5_u_850hPa,ERA5_v_500hPa,ERA5_v_700hPa,ERA5_v_850hPa,K_INDEX_ERA5,TOTALS_TOTALS_ERA5,LIFTED_INDEX_ERA5
2015-01-01,0,0,294.10986328125,291.6649475097656,-1.178466796875,2.172515869140625,74.125,91254.765625,268.7023620605469,281.46759033203125,289.2115173339844,0.000198911933694,0.0088403187692165,0.0134606473147869,10.976119995117188,3.62078857421875,-1.306060791015625,6.250503540039063,8.344619750976562,7.974502563476562,34.492531025409626,38.4174405276775,-14.744449391084558
2015-01-01,6,1,297.7223815917969,291.933837890625,1.3302154541015625,2.612701416015625,160.0,91482.21875,268.1969909667969,282.0721130371094,289.7772216796875,0.0001622933486942,0.0045369993895292,0.0121099092066288,8.645797729492188,3.040802001953125,3.292572021484375,7.680572509765625,7.908935546875,6.3020782470703125,29.305026271939226,38.64314895272253,-15.815524830537683
2015-01-01,12,2,300.11700439453125,289.05035400390625,0.748870849609375,1.3461761474609375,0.0,91197.03125,268.5654296875,281.4631042480469,293.111572265625,0.0001600314280949,0.0047622919082641,0.0109135620296001,7.14849853515625,2.9842529296875,2.345733642578125,10.383377075195312,6.4679718017578125,3.502227783203125,31.908892267942303,40.04427492022508,-18.781436695772058
2015-01-01,18,3,294.746826171875,292.8287353515625,-0.23828125,1.9579010009765625,109.0,91518.296875,268.85614013671875,281.06939697265625,289.91571044921875,0.0001949301367858,0.0049192234873771,0.0127983279526233,6.090591430664063,1.10986328125,1.3767852783203125,14.109619140625,7.87255859375,6.5390167236328125,30.857724779844123,38.15175812840452,-15.294864430147058
2015-01-02,0,0,294.66387939453125,291.1937255859375,0.7003326416015625,0.1116943359375,21.0,91468.9375,267.40576171875,281.32666015625,288.3387451171875,0.000197080662474,0.0037017955910414,0.0124006420373916,7.0626068115234375,1.141845703125,1.31561279296875,12.871505737304688,10.579071044921877,1.6063079833984375,28.858760870620475,39.077863717079076,-15.168277516084558
2015-01-02,6,1,298.9361572265625,291.0609130859375,-0.01373291015625,3.1518707275390625,3.125,91676.609375,268.90203857421875,281.2743530273437,289.7413330078125,0.0003934227861464,0.0040121371857821,0.0120041519403457,5.069381713867188,0.93939208984375,-0.108123779296875,14.916244506835938,9.545211791992188,4.477340698242188,28.731230532377836,37.09140779972068,-15.074588551240808
2015-01-02,12,2,300.129150390625,289.1219482421875,-0.445709228515625,2.140716552734375,0.0,91473.5,267.6268310546875,280.88629150390625,292.66796875,0.0003431367222219,0.003699725260958,0.0105048678815364,6.8977813720703125,2.328948974609375,-0.6019744873046875,13.44305419921875,6.8112640380859375,4.789276123046875,31.509439333900627,41.069174522161376,-19.276431812959558
2015-01-02,18,3,294.5530700683594,292.4881591796875,-2.0125274658203125,2.1671142578125,57.5,91793.671875,266.99029541015625,280.38641357421875,290.6473083496094,0.0002979354467242,0.0033623678609728,0.0101204998791217,7.888534545898437,2.4985809326171875,-2.4834442138671875,11.292190551757812,6.98284912109375,8.252593994140625,29.903467105328854,39.937217408418554,-17.892307057100183
2015-01-03,0,0,293.1571044921875,291.4749755859375,-0.538299560546875,1.7459869384765625,4.0,91653.96875,266.5624389648437,283.40966796875,288.8652648925781,0.0002444207202643,0.0006473772227764,0.0111366547644138,7.649566650390625,6.151214599609375,0.9806060791015624,8.059539794921875,8.177642822265625,6.999542236328125,23.827189946174606,40.027041727304514,-16.53812004538149
2015-01-03,6,1,298.51031494140625,289.71246337890625,-0.234954833984375,2.4658966064453125,0.625,91833.9375,268.38189697265625,283.109130859375,289.495849609375,0.0003941191826015,0.0006879521533846,0.0112720653414726,10.42388916015625,6.105682373046875,-0.4620513916015625,8.7628173828125,8.1019287109375,3.4987335205078125,23.114839272200925,37.154121005535075,-15.349246754365808
