Slot,Slot_label,CV_AUROC,Threshold,TP,FP,FN,TN,AUROC,POD,FAR,CSI,HSS,BIAS
0,0001-0600 IST,0.9441,0.29,2,38,8,953,0.9016,0.2,0.95,0.0417,0.0651,4.0
1,0601-1200 IST,,0.41,0,9,3,989,0.9108,0.0,1.0,0.0,-0.0045,3.0
2,1201-1800 IST,0.9114,0.34,26,43,47,885,0.8212,0.3562,0.6232,0.2241,0.3179,0.9452
3,1801-2400 IST,0.9132,0.6,6,75,15,905,0.8415,0.2857,0.9259,0.0625,0.0872,3.8571
