slot,slot_label,method,brier_raw,brier_calib,brier_improvement,auroc_raw,auroc_calib
0,0001-0600 IST,sigmoid,0.0203,0.0117,0.0086,0.9016,0.9016
1,0601-1200 IST,sigmoid,0.0071,0.0031,0.004,0.9108,0.9108
2,1201-1800 IST,isotonic,0.0681,0.0611,0.007,0.8212,0.8127
3,1801-2400 IST,isotonic,0.0744,0.0264,0.048,0.8415,0.8369
