feature,mean_shap,slot,slot_label,rank
MONTH_sin,0.0068549686,1,0601-1200 IST,48
RF_nonzero,0.005860719,1,0601-1200 IST,49
MONTH_cos,0.0017894024,1,0601-1200 IST,50
HA_flag,0.0,1,0601-1200 IST,51
slot_sin,0.0,1,0601-1200 IST,52
slot_cos,0.0,1,0601-1200 IST,53
ts_label_lag1_slot,0.0,1,0601-1200 IST,54
CAPE,1.0458994,2,1201-1800 IST,1
TOTALS_TOTALS,0.92756563,2,1201-1800 IST,2
K_INDEX,0.66114,2,1201-1800 IST,3
ERA5_T2M,0.54655236,2,1201-1800 IST,4
MIN,0.3764624,2,1201-1800 IST,5
ERA5_CAPE,0.37198764,2,1201-1800 IST,6
ts_any_yesterday,0.32846308,2,1201-1800 IST,7
EVP,0.3274013,2,1201-1800 IST,8
ERA5_v_850hPa,0.31729168,2,1201-1800 IST,9
DOY_cos,0.31537753,2,1201-1800 IST,10
ERA5_q_700hPa,0.30870497,2,1201-1800 IST,11
DOY_sin,0.30087247,2,1201-1800 IST,12
ERA5_q_500hPa,0.2938464,2,1201-1800 IST,13
ERA5_U10,0.2901413,2,1201-1800 IST,14
PRECIP_WATER,0.289797,2,1201-1800 IST,15
ERA5_V10,0.2701123,2,1201-1800 IST,16
ERA5_v_700hPa,0.25515714,2,1201-1800 IST,17
RF_3d,0.23884234,2,1201-1800 IST,18
LIFTED_INDEX,0.21559608,2,1201-1800 IST,19
RF_7d,0.20199409,2,1201-1800 IST,20
SSH,0.19700764,2,1201-1800 IST,21
ERA5_t_500hPa,0.1871063,2,1201-1800 IST,22
MIN_3d_avg,0.15186279,2,1201-1800 IST,23
ERA5_SP,0.1467237,2,1201-1800 IST,24
ERA5_u_500hPa,0.14505965,2,1201-1800 IST,25
ERA5_t_700hPa,0.1445429,2,1201-1800 IST,26
MIN_lag1,0.13950999,2,1201-1800 IST,27
ERA5_t_850hPa,0.13716805,2,1201-1800 IST,28
MAX_lag1,0.13425557,2,1201-1800 IST,29
ERA5_v_500hPa,0.13054666,2,1201-1800 IST,30
MAX,0.13019957,2,1201-1800 IST,31
DTR_3d_avg,0.11965067,2,1201-1800 IST,32
MAX_3d_avg,0.11567166,2,1201-1800 IST,33
ERA5_q_850hPa,0.11461225,2,1201-1800 IST,34
ERA5_D2M,0.1132208,2,1201-1800 IST,35
ERA5_u_850hPa,0.11202683,2,1201-1800 IST,36
ERA5_u_700hPa,0.10372452,2,1201-1800 IST,37
RF,0.101392195,2,1201-1800 IST,38
DTR,0.08367294,2,1201-1800 IST,39
RF_lag1,0.06680773,2,1201-1800 IST,40
DRNRF,0.06555868,2,1201-1800 IST,41
doy_sin,0.06531085,2,1201-1800 IST,42
MONTH_sin,0.063298106,2,1201-1800 IST,43
LABEL_lag1,0.057946403,2,1201-1800 IST,44
AW,0.056089118,2,1201-1800 IST,45
doy_cos,0.055182815,2,1201-1800 IST,46
slot_month_clim,0.049437627,2,1201-1800 IST,47
ts_label_lag1_slot,0.037561808,2,1201-1800 IST,48
MONTH_cos,0.01646616,2,1201-1800 IST,49
RF_nonzero,0.004688607,2,1201-1800 IST,50
SEASON,0.002210542,2,1201-1800 IST,51
HA_flag,0.0,2,1201-1800 IST,52
slot_cos,0.0,2,1201-1800 IST,53
slot_sin,0.0,2,1201-1800 IST,54
K_INDEX,1.0759001,3,1801-2400 IST,1
CAPE,0.9069723,3,1801-2400 IST,2
TOTALS_TOTALS,0.7561736,3,1801-2400 IST,3
ERA5_u_700hPa,0.72349983,3,1801-2400 IST,4
LIFTED_INDEX,0.6469344,3,1801-2400 IST,5
MIN,0.59831476,3,1801-2400 IST,6
ERA5_u_850hPa,0.5499783,3,1801-2400 IST,7
ERA5_q_500hPa,0.43947536,3,1801-2400 IST,8
ERA5_D2M,0.41979668,3,1801-2400 IST,9
EVP,0.41363493,3,1801-2400 IST,10
ERA5_SP,0.4021869,3,1801-2400 IST,11
ERA5_T2M,0.39607745,3,1801-2400 IST,12
ERA5_V10,0.38375995,3,1801-2400 IST,13
ERA5_t_850hPa,0.33808985,3,1801-2400 IST,14
ERA5_u_500hPa,0.31869155,3,1801-2400 IST,15
DTR_3d_avg,0.31566235,3,1801-2400 IST,16
RF_7d,0.3028461,3,1801-2400 IST,17
DRNRF,0.29332143,3,1801-2400 IST,18
ERA5_q_700hPa,0.27256033,3,1801-2400 IST,19
ERA5_t_700hPa,0.2634518,3,1801-2400 IST,20
RF_lag1,0.26094538,3,1801-2400 IST,21
PRECIP_WATER,0.25505063,3,1801-2400 IST,22
SSH,0.25368026,3,1801-2400 IST,23
ERA5_v_700hPa,0.25271967,3,1801-2400 IST,24
MAX_lag1,0.24773416,3,1801-2400 IST,25
ERA5_v_500hPa,0.23850273,3,1801-2400 IST,26
ERA5_U10,0.23843187,3,1801-2400 IST,27
RF_3d,0.23662011,3,1801-2400 IST,28
MIN_lag1,0.23515077,3,1801-2400 IST,29
ERA5_q_850hPa,0.2153531,3,1801-2400 IST,30
DTR,0.21026732,3,1801-2400 IST,31
DOY_cos,0.16569746,3,1801-2400 IST,32
MIN_3d_avg,0.15385346,3,1801-2400 IST,33
LABEL_lag1,0.15171245,3,1801-2400 IST,34
ERA5_v_850hPa,0.13369913,3,1801-2400 IST,35
ERA5_t_500hPa,0.12281102,3,1801-2400 IST,36
DOY_sin,0.11791411,3,1801-2400 IST,37
RF,0.11707019,3,1801-2400 IST,38
MAX,0.116660744,3,1801-2400 IST,39
MAX_3d_avg,0.097237036,3,1801-2400 IST,40
AW,0.06970247,3,1801-2400 IST,41
ERA5_CAPE,0.06775416,3,1801-2400 IST,42
doy_cos,0.059704423,3,1801-2400 IST,43
ts_any_yesterday,0.05852754,3,1801-2400 IST,44
slot_month_clim,0.05171359,3,1801-2400 IST,45
MONTH_cos,0.042983156,3,1801-2400 IST,46
ts_label_lag1_slot,0.030385038,3,1801-2400 IST,47
doy_sin,0.027635222,3,1801-2400 IST,48
MONTH_sin,0.026350882,3,1801-2400 IST,49
SEASON,0.0,3,1801-2400 IST,50
HA_flag,0.0,3,1801-2400 IST,51
RF_nonzero,0.0,3,1801-2400 IST,52
slot_cos,0.0,3,1801-2400 IST,53
slot_sin,0.0,3,1801-2400 IST,54
