feature,mean_shap,slot,slot_label,rank
MONTH_sin,0.0,1,0601-1200 IST,48
SEASON,0.0,1,0601-1200 IST,49
RF_nonzero,0.0,1,0601-1200 IST,50
HA_flag,0.0,1,0601-1200 IST,51
slot_sin,0.0,1,0601-1200 IST,52
slot_cos,0.0,1,0601-1200 IST,53
ts_label_lag1_slot,0.0,1,0601-1200 IST,54
CAPE,1.006391,2,1201-1800 IST,1
TOTALS_TOTALS,0.8230325,2,1201-1800 IST,2
K_INDEX,0.7747067,2,1201-1800 IST,3
ERA5_T2M,0.5401553,2,1201-1800 IST,4
MIN,0.3477383,2,1201-1800 IST,5
ERA5_CAPE,0.33381936,2,1201-1800 IST,6
ts_any_yesterday,0.31129122,2,1201-1800 IST,7
ERA5_q_700hPa,0.2932229,2,1201-1800 IST,8
DOY_cos,0.2924203,2,1201-1800 IST,9
EVP,0.29092503,2,1201-1800 IST,10
RF_3d,0.2814118,2,1201-1800 IST,11
ERA5_U10,0.27016273,2,1201-1800 IST,12
ERA5_V10,0.25637704,2,1201-1800 IST,13
ERA5_q_500hPa,0.24736224,2,1201-1800 IST,14
ERA5_v_850hPa,0.24309702,2,1201-1800 IST,15
DOY_sin,0.23001203,2,1201-1800 IST,16
ERA5_v_700hPa,0.22958325,2,1201-1800 IST,17
MIN_3d_avg,0.22200358,2,1201-1800 IST,18
SSH,0.21682392,2,1201-1800 IST,19
PRECIP_WATER,0.20427315,2,1201-1800 IST,20
ERA5_t_500hPa,0.20133416,2,1201-1800 IST,21
RF_7d,0.18200402,2,1201-1800 IST,22
LIFTED_INDEX,0.1802547,2,1201-1800 IST,23
ERA5_u_500hPa,0.16092454,2,1201-1800 IST,24
ERA5_q_850hPa,0.15269682,2,1201-1800 IST,25
ERA5_SP,0.14904572,2,1201-1800 IST,26
ERA5_t_850hPa,0.14484905,2,1201-1800 IST,27
MAX_lag1,0.13657929,2,1201-1800 IST,28
MIN_lag1,0.13479765,2,1201-1800 IST,29
MAX,0.12453989,2,1201-1800 IST,30
DTR,0.11633515,2,1201-1800 IST,31
ERA5_u_700hPa,0.115973964,2,1201-1800 IST,32
ERA5_t_700hPa,0.10666464,2,1201-1800 IST,33
MAX_3d_avg,0.101793155,2,1201-1800 IST,34
RF_lag1,0.09973283,2,1201-1800 IST,35
ERA5_u_850hPa,0.092166185,2,1201-1800 IST,36
LABEL_lag1,0.08949996,2,1201-1800 IST,37
ERA5_v_500hPa,0.08828968,2,1201-1800 IST,38
ERA5_D2M,0.08177028,2,1201-1800 IST,39
RF,0.07813753,2,1201-1800 IST,40
doy_cos,0.0777504,2,1201-1800 IST,41
DRNRF,0.075591914,2,1201-1800 IST,42
AW,0.06718704,2,1201-1800 IST,43
DTR_3d_avg,0.05913597,2,1201-1800 IST,44
MONTH_sin,0.05900625,2,1201-1800 IST,45
slot_month_clim,0.058255713,2,1201-1800 IST,46
doy_sin,0.055632193,2,1201-1800 IST,47
ts_label_lag1_slot,0.030925719,2,1201-1800 IST,48
MONTH_cos,0.0129744625,2,1201-1800 IST,49
RF_nonzero,0.0067684744,2,1201-1800 IST,50
SEASON,0.004945312,2,1201-1800 IST,51
HA_flag,0.0,2,1201-1800 IST,52
slot_cos,0.0,2,1201-1800 IST,53
slot_sin,0.0,2,1201-1800 IST,54
K_INDEX,1.0038182,3,1801-2400 IST,1
ERA5_CAPE,0.6147629,3,1801-2400 IST,2
LIFTED_INDEX,0.5947064,3,1801-2400 IST,3
CAPE,0.3600916,3,1801-2400 IST,4
ERA5_T2M,0.32729533,3,1801-2400 IST,5
ERA5_u_700hPa,0.31371486,3,1801-2400 IST,6
MIN,0.3066402,3,1801-2400 IST,7
TOTALS_TOTALS,0.29016626,3,1801-2400 IST,8
ERA5_U10,0.26893115,3,1801-2400 IST,9
ERA5_u_850hPa,0.2664365,3,1801-2400 IST,10
ERA5_q_700hPa,0.18970728,3,1801-2400 IST,11
ERA5_q_850hPa,0.16157208,3,1801-2400 IST,12
EVP,0.15137555,3,1801-2400 IST,13
PRECIP_WATER,0.14423302,3,1801-2400 IST,14
MIN_3d_avg,0.13052814,3,1801-2400 IST,15
ERA5_v_500hPa,0.11859279,3,1801-2400 IST,16
ERA5_V10,0.114840984,3,1801-2400 IST,17
RF_7d,0.11443895,3,1801-2400 IST,18
ERA5_u_500hPa,0.10948769,3,1801-2400 IST,19
ERA5_q_500hPa,0.10910235,3,1801-2400 IST,20
MAX_3d_avg,0.0925647,3,1801-2400 IST,21
DOY_sin,0.091567084,3,1801-2400 IST,22
DOY_cos,0.08942078,3,1801-2400 IST,23
ERA5_D2M,0.08461188,3,1801-2400 IST,24
ERA5_t_700hPa,0.084560044,3,1801-2400 IST,25
ERA5_v_700hPa,0.07935629,3,1801-2400 IST,26
LABEL_lag1,0.07835808,3,1801-2400 IST,27
DRNRF,0.073848955,3,1801-2400 IST,28
SSH,0.0707307,3,1801-2400 IST,29
ERA5_SP,0.07016188,3,1801-2400 IST,30
ERA5_v_850hPa,0.06795993,3,1801-2400 IST,31
ERA5_t_850hPa,0.0669794,3,1801-2400 IST,32
ERA5_t_500hPa,0.066330984,3,1801-2400 IST,33
MONTH_cos,0.059923876,3,1801-2400 IST,34
MIN_lag1,0.054404795,3,1801-2400 IST,35
MAX_lag1,0.05188491,3,1801-2400 IST,36
DTR,0.04998271,3,1801-2400 IST,37
DTR_3d_avg,0.049968496,3,1801-2400 IST,38
RF,0.042834904,3,1801-2400 IST,39
doy_sin,0.033054743,3,1801-2400 IST,40
ts_any_yesterday,0.031769913,3,1801-2400 IST,41
MAX,0.030691443,3,1801-2400 IST,42
AW,0.02763323,3,1801-2400 IST,43
RF_3d,0.017495763,3,1801-2400 IST,44
RF_lag1,0.016958363,3,1801-2400 IST,45
MONTH_sin,0.01140694,3,1801-2400 IST,46
ts_label_lag1_slot,0.010518798,3,1801-2400 IST,47
slot_month_clim,0.008452109,3,1801-2400 IST,48
SEASON,0.0,3,1801-2400 IST,49
RF_nonzero,0.0,3,1801-2400 IST,50
HA_flag,0.0,3,1801-2400 IST,51
slot_sin,0.0,3,1801-2400 IST,52
slot_cos,0.0,3,1801-2400 IST,53
doy_cos,0.0,3,1801-2400 IST,54
