feature,mean_shap,slot,slot_label,rank
ERA5_SP,0.117714725,0,0001-0600 IST,41
wind_shear_700_850,0.10733655,0,0001-0600 IST,42
MIN,0.1057373,0,0001-0600 IST,43
ERA5_u_700hPa,0.10345882,0,0001-0600 IST,44
ERA5_t_850hPa,0.09435847,0,0001-0600 IST,45
q_gradient_500_850,0.08513802,0,0001-0600 IST,46
ERA5_t_700hPa,0.08358555,0,0001-0600 IST,47
moisture_flux_700,0.081582345,0,0001-0600 IST,48
thickness_500_850,0.074655674,0,0001-0600 IST,49
DOY_sin,0.06385569,0,0001-0600 IST,50
AW,0.061828222,0,0001-0600 IST,51
MAX_lag1,0.06011884,0,0001-0600 IST,52
ts_any_yesterday,0.057426758,0,0001-0600 IST,53
MIN_lag1,0.057368543,0,0001-0600 IST,54
doy_cos,0.039461065,0,0001-0600 IST,55
ts_label_lag1_slot,0.030088024,0,0001-0600 IST,56
doy_sin,0.017079787,0,0001-0600 IST,57
MONTH_cos,0.014096216,0,0001-0600 IST,58
RF_nonzero,0.00804131,0,0001-0600 IST,59
MONTH_sin,0.0029770306,0,0001-0600 IST,60
SEASON,0.00021707082,0,0001-0600 IST,61
HA_flag,0.0,0,0001-0600 IST,62
slot_sin,0.0,0,0001-0600 IST,63
slot_cos,0.0,0,0001-0600 IST,64
ts_any_yesterday,0.6250059,1,0601-1200 IST,1
moisture_flux_700,0.61535203,1,0601-1200 IST,2
RF,0.5423766,1,0601-1200 IST,3
DRNRF,0.49601242,1,0601-1200 IST,4
cape_x_kindex,0.43432072,1,0601-1200 IST,5
CAPE,0.38020062,1,0601-1200 IST,6
ERA5_q_700hPa,0.3414364,1,0601-1200 IST,7
moisture_flux_850,0.27218515,1,0601-1200 IST,8
MIN_lag1,0.267197,1,0601-1200 IST,9
wind_shear_700_850,0.26619387,1,0601-1200 IST,10
LABEL_lag1,0.26469037,1,0601-1200 IST,11
ERA5_CAPE,0.25907326,1,0601-1200 IST,12
RF_7d,0.25644836,1,0601-1200 IST,13
TOTALS_TOTALS,0.2544313,1,0601-1200 IST,14
ERA5_u_700hPa,0.25276285,1,0601-1200 IST,15
PRECIP_WATER,0.20302187,1,0601-1200 IST,16
ERA5_U10,0.20213793,1,0601-1200 IST,17
MIN,0.17500223,1,0601-1200 IST,18
DTR,0.1560128,1,0601-1200 IST,19
slot_month_clim,0.15399182,1,0601-1200 IST,20
K_INDEX,0.14882542,1,0601-1200 IST,21
MIN_3d_avg,0.14660563,1,0601-1200 IST,22
ERA5_D2M,0.14284745,1,0601-1200 IST,23
mid_level_drying,0.14053863,1,0601-1200 IST,24
MAX_3d_avg,0.1387178,1,0601-1200 IST,25
DOY_sin,0.13302913,1,0601-1200 IST,26
MAX,0.13253962,1,0601-1200 IST,27
SSH,0.123861626,1,0601-1200 IST,28
ERA5_u_850hPa,0.123085,1,0601-1200 IST,29
wind_shear_500_850,0.11385192,1,0601-1200 IST,30
ERA5_v_500hPa,0.10630014,1,0601-1200 IST,31
ERA5_T2M,0.081726015,1,0601-1200 IST,32
thetae_850,0.08037313,1,0601-1200 IST,33
ERA5_u_500hPa,0.07897752,1,0601-1200 IST,34
ERA5_t_500hPa,0.0774971,1,0601-1200 IST,35
DOY_cos,0.07353445,1,0601-1200 IST,36
EVP,0.07070857,1,0601-1200 IST,37
q_gradient_500_850,0.06932825,1,0601-1200 IST,38
ERA5_SP,0.06262884,1,0601-1200 IST,39
RF_3d,0.058145616,1,0601-1200 IST,40
LIFTED_INDEX,0.041828174,1,0601-1200 IST,41
ERA5_q_850hPa,0.04061824,1,0601-1200 IST,42
ERA5_t_700hPa,0.039370965,1,0601-1200 IST,43
thickness_500_850,0.03556689,1,0601-1200 IST,44
ERA5_V10,0.035364434,1,0601-1200 IST,45
doy_sin,0.034796517,1,0601-1200 IST,46
ERA5_v_850hPa,0.03226301,1,0601-1200 IST,47
ERA5_v_700hPa,0.025728188,1,0601-1200 IST,48
ERA5_q_500hPa,0.024937019,1,0601-1200 IST,49
li_x_totals,0.024840264,1,0601-1200 IST,50
ERA5_t_850hPa,0.02138591,1,0601-1200 IST,51
MAX_lag1,0.021178776,1,0601-1200 IST,52
DTR_3d_avg,0.021094292,1,0601-1200 IST,53
doy_cos,0.014025652,1,0601-1200 IST,54
RF_lag1,0.011517708,1,0601-1200 IST,55
MONTH_sin,0.010154957,1,0601-1200 IST,56
AW,0.0041579464,1,0601-1200 IST,57
MONTH_cos,0.0014206098,1,0601-1200 IST,58
RF_nonzero,0.0,1,0601-1200 IST,59
SEASON,0.0,1,0601-1200 IST,60
HA_flag,0.0,1,0601-1200 IST,61
slot_sin,0.0,1,0601-1200 IST,62
ts_label_lag1_slot,0.0,1,0601-1200 IST,63
slot_cos,0.0,1,0601-1200 IST,64
TOTALS_TOTALS,0.7680514,2,1201-1800 IST,1
cape_x_kindex,0.7548023,2,1201-1800 IST,2
K_INDEX,0.7071,2,1201-1800 IST,3
CAPE,0.6246126,2,1201-1800 IST,4
ERA5_T2M,0.53758806,2,1201-1800 IST,5
ERA5_CAPE,0.33409306,2,1201-1800 IST,6
MIN,0.30452108,2,1201-1800 IST,7
ts_any_yesterday,0.29100904,2,1201-1800 IST,8
LIFTED_INDEX,0.26967376,2,1201-1800 IST,9
EVP,0.2539367,2,1201-1800 IST,10
ERA5_V10,0.23773797,2,1201-1800 IST,11
moisture_flux_700,0.23428434,2,1201-1800 IST,12
DOY_cos,0.23139767,2,1201-1800 IST,13
ERA5_q_500hPa,0.22967784,2,1201-1800 IST,14
ERA5_v_850hPa,0.22941317,2,1201-1800 IST,15
RF_3d,0.2267081,2,1201-1800 IST,16
ERA5_q_700hPa,0.2262371,2,1201-1800 IST,17
PRECIP_WATER,0.2083542,2,1201-1800 IST,18
thetae_850,0.20556867,2,1201-1800 IST,19
ERA5_t_500hPa,0.20466152,2,1201-1800 IST,20
wind_shear_700_850,0.18025392,2,1201-1800 IST,21
ERA5_U10,0.17211264,2,1201-1800 IST,22
DOY_sin,0.16915098,2,1201-1800 IST,23
ERA5_v_700hPa,0.16597547,2,1201-1800 IST,24
SSH,0.16270941,2,1201-1800 IST,25
RF_7d,0.15819919,2,1201-1800 IST,26
mid_level_drying,0.15802413,2,1201-1800 IST,27
ERA5_u_500hPa,0.14771971,2,1201-1800 IST,28
MIN_3d_avg,0.13712719,2,1201-1800 IST,29
MIN_lag1,0.12965745,2,1201-1800 IST,30
ERA5_t_700hPa,0.12354864,2,1201-1800 IST,31
doy_sin,0.12267177,2,1201-1800 IST,32
ERA5_t_850hPa,0.121731184,2,1201-1800 IST,33
MAX,0.116944686,2,1201-1800 IST,34
MAX_lag1,0.113816336,2,1201-1800 IST,35
wind_shear_500_850,0.10971017,2,1201-1800 IST,36
MAX_3d_avg,0.104639135,2,1201-1800 IST,37
doy_cos,0.10212906,2,1201-1800 IST,38
ERA5_SP,0.101602696,2,1201-1800 IST,39
DTR_3d_avg,0.09965416,2,1201-1800 IST,40
LABEL_lag1,0.09679829,2,1201-1800 IST,41
ERA5_u_700hPa,0.08991033,2,1201-1800 IST,42
moisture_flux_850,0.088806294,2,1201-1800 IST,43
q_gradient_500_850,0.08879024,2,1201-1800 IST,44
ERA5_v_500hPa,0.087046824,2,1201-1800 IST,45
DTR,0.08284208,2,1201-1800 IST,46
ERA5_u_850hPa,0.0813291,2,1201-1800 IST,47
ERA5_D2M,0.08130886,2,1201-1800 IST,48
ERA5_q_850hPa,0.077246204,2,1201-1800 IST,49
RF_lag1,0.07616733,2,1201-1800 IST,50
DRNRF,0.072639614,2,1201-1800 IST,51
li_x_totals,0.06750942,2,1201-1800 IST,52
slot_month_clim,0.06554583,2,1201-1800 IST,53
thickness_500_850,0.06486239,2,1201-1800 IST,54
RF,0.06478965,2,1201-1800 IST,55
AW,0.039814916,2,1201-1800 IST,56
MONTH_sin,0.03629556,2,1201-1800 IST,57
ts_label_lag1_slot,0.030170646,2,1201-1800 IST,58
MONTH_cos,0.01570742,2,1201-1800 IST,59
RF_nonzero,0.010335747,2,1201-1800 IST,60
SEASON,0.002691759,2,1201-1800 IST,61
HA_flag,0.0,2,1201-1800 IST,62
slot_sin,0.0,2,1201-1800 IST,63
slot_cos,0.0,2,1201-1800 IST,64
K_INDEX,0.92853457,3,1801-2400 IST,1
ERA5_T2M,0.6641234,3,1801-2400 IST,2
thetae_850,0.63275266,3,1801-2400 IST,3
MIN,0.5000602,3,1801-2400 IST,4
ERA5_CAPE,0.47899422,3,1801-2400 IST,5
TOTALS_TOTALS,0.4665765,3,1801-2400 IST,6
ERA5_u_700hPa,0.45360255,3,1801-2400 IST,7
li_x_totals,0.4447176,3,1801-2400 IST,8
LIFTED_INDEX,0.43103024,3,1801-2400 IST,9
ERA5_U10,0.37740588,3,1801-2400 IST,10
ERA5_u_850hPa,0.32682937,3,1801-2400 IST,11
CAPE,0.32144633,3,1801-2400 IST,12
moisture_flux_700,0.30438787,3,1801-2400 IST,13
wind_shear_700_850,0.29659575,3,1801-2400 IST,14
q_gradient_500_850,0.26565272,3,1801-2400 IST,15
ERA5_u_500hPa,0.2545183,3,1801-2400 IST,16
RF_7d,0.22471206,3,1801-2400 IST,17
moisture_flux_850,0.18710712,3,1801-2400 IST,18
cape_x_kindex,0.18694694,3,1801-2400 IST,19
ERA5_q_850hPa,0.17308936,3,1801-2400 IST,20
thickness_500_850,0.17072833,3,1801-2400 IST,21
EVP,0.17033239,3,1801-2400 IST,22
ERA5_v_700hPa,0.15657464,3,1801-2400 IST,23
ERA5_t_850hPa,0.15651208,3,1801-2400 IST,24
ERA5_q_700hPa,0.15619929,3,1801-2400 IST,25
MAX_lag1,0.15204053,3,1801-2400 IST,26
MIN_lag1,0.15122758,3,1801-2400 IST,27
DOY_cos,0.14788137,3,1801-2400 IST,28
ERA5_V10,0.13741149,3,1801-2400 IST,29
SSH,0.1338838,3,1801-2400 IST,30
ERA5_v_500hPa,0.12674801,3,1801-2400 IST,31
DOY_sin,0.12476249,3,1801-2400 IST,32
RF_3d,0.11066693,3,1801-2400 IST,33
DRNRF,0.11063131,3,1801-2400 IST,34
DTR_3d_avg,0.110419825,3,1801-2400 IST,35
ERA5_D2M,0.109627225,3,1801-2400 IST,36
MAX_3d_avg,0.10293976,3,1801-2400 IST,37
PRECIP_WATER,0.10205093,3,1801-2400 IST,38
DTR,0.10127645,3,1801-2400 IST,39
RF_lag1,0.09881364,3,1801-2400 IST,40
wind_shear_500_850,0.09750644,3,1801-2400 IST,41
ERA5_v_850hPa,0.09022663,3,1801-2400 IST,42
ERA5_q_500hPa,0.08706601,3,1801-2400 IST,43
MIN_3d_avg,0.07987851,3,1801-2400 IST,44
ERA5_SP,0.07748462,3,1801-2400 IST,45
mid_level_drying,0.0737258,3,1801-2400 IST,46
LABEL_lag1,0.071792334,3,1801-2400 IST,47
ERA5_t_700hPa,0.065909095,3,1801-2400 IST,48
RF,0.06424768,3,1801-2400 IST,49
ERA5_t_500hPa,0.06386166,3,1801-2400 IST,50
MAX,0.059717342,3,1801-2400 IST,51
doy_cos,0.03530128,3,1801-2400 IST,52
doy_sin,0.030215453,3,1801-2400 IST,53
AW,0.026751675,3,1801-2400 IST,54
MONTH_sin,0.021031767,3,1801-2400 IST,55
ts_label_lag1_slot,0.016177323,3,1801-2400 IST,56
ts_any_yesterday,0.012571392,3,1801-2400 IST,57
slot_month_clim,0.009633757,3,1801-2400 IST,58
MONTH_cos,0.0036269142,3,1801-2400 IST,59
RF_nonzero,0.0,3,1801-2400 IST,60
HA_flag,0.0,3,1801-2400 IST,61
SEASON,0.0,3,1801-2400 IST,62
slot_sin,0.0,3,1801-2400 IST,63
slot_cos,0.0,3,1801-2400 IST,64
