feature,mean_shap,slot,slot_label,rank
DRNRF,0.64761466,0,0001-0600 IST,1
LABEL_lag1,0.61700344,0,0001-0600 IST,2
cape_x_kindex,0.50348234,0,0001-0600 IST,3
ERA5_q_500hPa,0.48972857,0,0001-0600 IST,4
RF,0.48326206,0,0001-0600 IST,5
ERA5_u_850hPa,0.47709188,0,0001-0600 IST,6
PRECIP_WATER,0.43400264,0,0001-0600 IST,7
LIFTED_INDEX,0.41551393,0,0001-0600 IST,8
MIN_3d_avg,0.4039872,0,0001-0600 IST,9
DTR,0.37447587,0,0001-0600 IST,10
CAPE,0.36039358,0,0001-0600 IST,11
TOTALS_TOTALS,0.32198957,0,0001-0600 IST,12
ERA5_CAPE,0.30287588,0,0001-0600 IST,13
mid_level_drying,0.2964267,0,0001-0600 IST,14
ERA5_V10,0.25369897,0,0001-0600 IST,15
MAX,0.25089484,0,0001-0600 IST,16
ERA5_v_500hPa,0.24481493,0,0001-0600 IST,17
slot_month_clim,0.24159276,0,0001-0600 IST,18
ERA5_v_850hPa,0.22327913,0,0001-0600 IST,19
EVP,0.22278251,0,0001-0600 IST,20
moisture_flux_850,0.21343333,0,0001-0600 IST,21
K_INDEX,0.20655516,0,0001-0600 IST,22
wind_shear_500_850,0.19395816,0,0001-0600 IST,23
RF_3d,0.19111146,0,0001-0600 IST,24
ERA5_q_700hPa,0.18855709,0,0001-0600 IST,25
DOY_cos,0.15867868,0,0001-0600 IST,26
thetae_850,0.15627731,0,0001-0600 IST,27
ERA5_T2M,0.15620857,0,0001-0600 IST,28
ERA5_t_500hPa,0.1541197,0,0001-0600 IST,29
ERA5_v_700hPa,0.14836499,0,0001-0600 IST,30
DTR_3d_avg,0.14690216,0,0001-0600 IST,31
RF_lag1,0.14314665,0,0001-0600 IST,32
ERA5_u_500hPa,0.14257427,0,0001-0600 IST,33
ERA5_U10,0.14204921,0,0001-0600 IST,34
ERA5_D2M,0.13889782,0,0001-0600 IST,35
RF_7d,0.12622598,0,0001-0600 IST,36
li_x_totals,0.123591825,0,0001-0600 IST,37
ERA5_q_850hPa,0.12269644,0,0001-0600 IST,38
SSH,0.12117979,0,0001-0600 IST,39
MAX_3d_avg,0.121119246,0,0001-0600 IST,40
