date,year,month,slot,slot_label,MAX,MIN,DTR,AW,RF,EVP,DRNRF,SSH,RF_3d,RF_7d,MAX_3d_avg,MIN_3d_avg,DTR_3d_avg,RF_lag1,MAX_lag1,MIN_lag1,LABEL_lag1,MONTH_sin,MONTH_cos,DOY_sin,DOY_cos,SEASON,HA_flag,RF_nonzero,CAPE,K_INDEX,LIFTED_INDEX,TOTALS_TOTALS,PRECIP_WATER,ERA5_T2M,ERA5_D2M,ERA5_U10,ERA5_V10,ERA5_CAPE,ERA5_SP,ERA5_t_500hPa,ERA5_t_700hPa,ERA5_t_850hPa,ERA5_q_500hPa,ERA5_q_700hPa,ERA5_q_850hPa,ERA5_u_500hPa,ERA5_u_700hPa,ERA5_u_850hPa,ERA5_v_500hPa,ERA5_v_700hPa,ERA5_v_850hPa,slot_sin,slot_cos,slot_month_clim,doy_sin,doy_cos,ts_label_lag1_slot,ts_any_yesterday,ts_label,prob,predicted,outcome
2023-01-01,2023,1,0,0001-0600,29.0,15.9,13.1,1.0,0.0,5.4,0.0,462.0,0.0,5.199999999999943,28.33333333333333,17.06666666666667,11.266666666666666,0.0,28.4,16.5,0.0,0.4999999999999999,0.8660254037844387,0.0172133561558346,0.9998518392091162,0.0,0.0,0.0,0.0,1.9544194705850657,-0.6739628273674612,41.11112273206777,15.783273978963372,290.0159606933594,288.174072265625,-1.79119873046875,0.5142059326171875,0.0,91951.140625,267.3489990234375,284.7998962402344,290.12225341796875,0.0003023056779056,0.0007148173172026,0.0080017372965812,0.544769287109375,-2.91168212890625,-2.4990386962890625,-6.8978271484375,-4.2516021728515625,-3.1627197265625,0.0,1.0,0.0,0.0172133561558346,0.9998518392091162,0,0,0,0.018145084833132638,0,TN
2023-01-01,2023,1,1,0601-1200,29.0,15.9,13.1,1.0,0.0,5.4,0.0,462.0,0.0,5.199999999999943,28.33333333333333,17.06666666666667,11.266666666666666,0.0,28.4,16.5,0.0,0.4999999999999999,0.8660254037844387,0.0172133561558346,0.9998518392091162,0.0,0.0,0.0,0.0,1.9544194705850657,-0.6739628273674612,41.11112273206777,15.783273978963372,299.3796081542969,287.8106689453125,-2.039276123046875,-1.6436920166015625,0.0,92136.46875,266.90966796875,284.427001953125,290.2751770019531,0.0003430519718676,0.0012002727016806,0.0094494521617889,-1.6685333251953125,-1.93017578125,-3.3108062744140625,-6.855133056640625,-4.962203979492188,-3.0661773681640625,1.0,6.123233995736766e-17,0.0,0.0172133561558346,0.9998518392091162,0,0,0,0.007710842726248477,0,TN
2023-01-01,2023,1,2,1201-1800,29.0,15.9,13.1,1.0,0.0,5.4,0.0,462.0,0.0,5.199999999999943,28.33333333333333,17.06666666666667,11.266666666666666,0.0,28.4,16.5,0.0,0.4999999999999999,0.8660254037844387,0.0172133561558346,0.9998518392091162,0.0,0.0,0.0,0.0,1.9544194705850657,-0.6739628273674612,41.11112273206777,15.783273978963372,299.23077392578125,288.468994140625,-1.3732147216796875,-0.762939453125,0.0,91817.3125,266.8670959472656,284.0531921386719,292.57177734375,0.00038110348396,0.0009419159032404,0.0085096657276153,-0.6105194091796875,-2.153778076171875,-3.421371459960937,-7.786758422851562,-9.152084350585938,-2.8595123291015625,1.2246467991473532e-16,-1.0,0.0,0.0172133561558346,0.9998518392091162,0,0,0,0.0,0,TN
2023-01-01,2023,1,3,1801-2400,29.0,15.9,13.1,1.0,0.0,5.4,0.0,462.0,0.0,5.199999999999943,28.33333333333333,17.06666666666667,11.266666666666666,0.0,28.4,16.5,0.0,0.4999999999999999,0.8660254037844387,0.0172133561558346,0.9998518392091162,0.0,0.0,0.0,0.0,1.9544194705850657,-0.6739628273674612,41.11112273206777,15.783273978963372,292.1302795410156,287.44830322265625,-3.1121978759765625,0.3704376220703125,0.0,92033.53125,266.9730834960937,284.5773620605469,290.2351989746094,0.0003149430267512,0.0010019883047789,0.0083602331578731,-1.2585601806640625,-5.998382568359375,-5.628021240234375,-8.51458740234375,-8.727386474609375,-1.417449951171875,-1.0,-1.8369701987210294e-16,0.0,0.0172133561558346,0.9998518392091162,0,0,0,0.0,0,TN
2023-01-02,2023,1,0,0001-0600,29.1,16.1,13.0,2.0,0.0,5.0,0.0,438.0,0.0,5.199999999999943,28.6,16.200000000000003,12.4,0.0,29.0,15.9,0.0,0.4999999999999999,0.8660254037844387,0.0344216116227457,0.9994074007397048,0.0,0.0,0.0,0.0,4.300049332815831,3.7491140592980514,35.209735139592226,15.143459986567125,290.2098083496094,288.59832763671875,-2.5731964111328125,0.26446533203125,0.0,91891.359375,267.0683288574219,284.0045166015625,289.47021484375,0.0004574826452881,0.0010626607108861,0.0065823085606098,-1.429229736328125,-6.102813720703125,-7.994033813476562,-11.329574584960938,-6.5402374267578125,-1.8677215576171875,0.0,1.0,0.0,0.0344216116227457,0.9994074007397048,0,0,0,0.018155576435451317,0,TN
2023-01-02,2023,1,1,0601-1200,29.1,16.1,13.0,2.0,0.0,5.0,0.0,438.0,0.0,5.199999999999943,28.6,16.200000000000003,12.4,0.0,29.0,15.9,0.0,0.4999999999999999,0.8660254037844387,0.0344216116227457,0.9994074007397048,0.0,0.0,0.0,0.0,4.300049332815831,3.7491140592980514,35.209735139592226,15.143459986567125,298.89422607421875,283.80157470703125,-3.969024658203125,0.064117431640625,0.0,92079.265625,267.8120422363281,283.9356994628906,289.64617919921875,0.0005026790313422,0.0011635527480393,0.0067480914294719,-4.454925537109375,-6.77435302734375,-7.118408203125,-8.628753662109375,-6.755386352539063,-0.7596588134765625,1.0,6.123233995736766e-17,0.0,0.0344216116227457,0.9994074007397048,0,0,0,0.007705729662314509,0,TN
2023-01-02,2023,1,2,1201-1800,29.1,16.1,13.0,2.0,0.0,5.0,0.0,438.0,0.0,5.199999999999943,28.6,16.200000000000003,12.4,0.0,29.0,15.9,0.0,0.4999999999999999,0.8660254037844387,0.0344216116227457,0.9994074007397048,0.0,0.0,0.0,0.0,4.300049332815831,3.7491140592980514,35.209735139592226,15.143459986567125,298.08770751953125,285.8841552734375,-2.005126953125,0.51690673828125,0.0,91807.578125,268.3744506835937,283.2945251464844,291.4179077148437,0.0003545985091477,0.0015700967051088,0.007560946047306,-5.338912963867188,-6.51873779296875,-5.32818603515625,-6.9349365234375,-6.5138092041015625,0.321929931640625,1.2246467991473532e-16,-1.0,0.0,0.0344216116227457,0.9994074007397048,0,0,0,0.0,0,TN
2023-01-02,2023,1,3,1801-2400,29.1,16.1,13.0,2.0,0.0,5.0,0.0,438.0,0.0,5.199999999999943,28.6,16.200000000000003,12.4,0.0,29.0,15.9,0.0,0.4999999999999999,0.8660254037844387,0.0344216116227457,0.9994074007397048,0.0,0.0,0.0,0.0,4.300049332815831,3.7491140592980514,35.209735139592226,15.143459986567125,291.3868408203125,287.5440673828125,-2.6905975341796875,0.4562225341796875,0.0,92067.609375,269.02496337890625,282.3941650390625,289.25311279296875,0.0002327630645595,0.0016480492195114,0.0078355483710765,-8.987411499023438,-8.139175415039062,-5.185272216796875,-5.408233642578125,-5.370269775390625,0.72918701171875,-1.0,-1.8369701987210294e-16,0.0,0.0344216116227457,0.9994074007397048,0,0,0,0.0,0,TN
2023-01-03,2023,1,0,0001-0600,28.0,16.3,11.7,2.0,0.0,5.2,0.0,474.0,0.0,1.2999999999999432,28.83333333333334,16.166666666666668,12.666666666666666,0.0,29.1,16.1,0.0,0.4999999999999999,0.8660254037844387,0.0516196672232537,0.998666816288476,0.0,0.0,0.0,0.0,-1.237754251752477,2.561817622571425,37.029183328454,14.985521701306608,291.06561279296875,290.0303955078125,-2.58892822265625,0.7295379638671875,3.75,91923.453125,269.41900634765625,281.4691162109375,289.0382080078125,0.0001341953902738,0.0016096837352961,0.005901962518692,-9.603851318359377,-6.83099365234375,-5.44256591796875,-5.4498291015625,-3.286361694335937,0.0299072265625,0.0,1.0,0.0,0.0516196672232537,0.998666816288476,0,0,0,0.018163763156860923,0,TN
2023-01-03,2023,1,1,0601-1200,28.0,16.3,11.7,2.0,0.0,5.2,0.0,474.0,0.0,1.2999999999999432,28.83333333333334,16.166666666666668,12.666666666666666,0.0,29.1,16.1,0.0,0.4999999999999999,0.8660254037844387,0.0516196672232537,0.998666816288476,0.0,0.0,0.0,0.0,-1.237754251752477,2.561817622571425,37.029183328454,14.985521701306608,297.6573791503906,286.92120361328125,-3.749069213867188,-0.0645599365234375,0.0,92107.8125,268.9794921875,281.97955322265625,288.88604736328125,0.0001143989939009,0.0013566908892244,0.0084185041487216,-12.134674072265623,-6.334930419921875,-6.392349243164063,-3.845245361328125,-2.953155517578125,-0.3741455078125,1.0,6.123233995736766e-17,0.0,0.0516196672232537,0.998666816288476,0,0,0,0.007703901279231238,0,TN
2023-01-03,2023,1,2,1201-1800,28.0,16.3,11.7,2.0,0.0,5.2,0.0,474.0,0.0,1.2999999999999432,28.83333333333334,16.166666666666668,12.666666666666666,0.0,29.1,16.1,0.0,0.4999999999999999,0.8660254037844387,0.0516196672232537,0.998666816288476,0.0,0.0,0.0,0.0,-1.237754251752477,2.561817622571425,37.029183328454,14.985521701306608,298.0843505859375,287.0005798339844,-2.296737670898437,0.2953643798828125,0.0,91787.109375,268.20770263671875,282.79833984375,291.0206604003906,0.0001370014215353,0.0008100774139165,0.008596759289503,-11.471710205078123,-5.11138916015625,-5.477386474609375,-2.0355224609375,-2.6956787109375,-0.31378173828125,1.2246467991473532e-16,-1.0,0.0,0.0516196672232537,0.998666816288476,0,0,0,0.0,0,TN
2023-01-03,2023,1,3,1801-2400,28.0,16.3,11.7,2.0,0.0,5.2,0.0,474.0,0.0,1.2999999999999432,28.83333333333334,16.166666666666668,12.666666666666666,0.0,29.1,16.1,0.0,0.4999999999999999,0.8660254037844387,0.0516196672232537,0.998666816288476,0.0,0.0,0.0,0.0,-1.237754251752477,2.561817622571425,37.029183328454,14.985521701306608,291.98809814453125,290.39794921875,-3.11517333984375,0.6997222900390625,2.0,92027.71875,269.0198974609375,282.81024169921875,289.0672607421875,0.0001552502799313,0.0007344388868659,0.0096060931682586,-9.611099243164062,-5.46673583984375,-5.9450225830078125,-1.490814208984375,-1.197509765625,-2.4536590576171875,-1.0,-1.8369701987210294e-16,0.0,0.0516196672232537,0.998666816288476,0,0,0,0.0,0,TN
2023-01-04,2023,1,0,0001-0600,26.8,16.8,10.0,2.0,0.0,6.0,0.0,420.0,0.0,0.0,28.700000000000003,16.100000000000005,12.6,0.0,28.0,16.3,0.0,0.4999999999999999,0.8660254037844387,0.0688024268023198,0.9976303053065856,0.0,0.0,0.0,0.0,-5.232786611579769,2.700094172179149,36.293404747122906,14.676086534259005,291.41119384765625,290.06549072265625,-2.6813201904296875,0.5104217529296875,0.25,91900.453125,268.74005126953125,282.5859375,288.07781982421875,0.0001711725344648,0.0007310998626053,0.0081314109265804,-6.3497314453125,-4.39080810546875,-6.1825714111328125,-1.7374114990234375,0.515869140625,-0.4081573486328125,0.0,1.0,0.0,0.0688024268023198,0.9976303053065856,0,0,0,0.018146201901101625,0,TN
