,0
LABEL_lag1,0.4172983
MIN_3d_avg,0.05494196
MIN,0.045455508
DRNRF,0.0365153
AW,0.0344348
RF,0.032822408
DOY_cos,0.031622153
DOY_sin,0.027511382
MONTH_cos,0.023772754
MIN_lag1,0.02358222
DTR,0.022974167
MAX,0.022759106
RF_lag1,0.022703638
EVP,0.022366589
RF_7d,0.022289619
RF_nonzero,0.021842573
MONTH_sin,0.0216671
SSH,0.021627167
DTR_3d_avg,0.020514362
SEASON,0.018915892
RF_3d,0.018256921
MAX_lag1,0.018158644
MAX_3d_avg,0.017967502
HA_flag,0.0
